zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,latLong,variableData,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,availabilityDate,visited,timeOnZillow,rentalMarketingSubType,marketingTreatments,plid,minBeds,minBaths,minArea,lotId,badgeInfo,buildingName,buildingId,isBuilding,canSaveBuilding,unitCount,info3String,streetViewURL,streetViewMetadataURL
2072005318,ForRent,For Rent,https://photos.zillowstatic.com/fp/48a6b32925d561a6d2109da1f52f31cc-p_e.jpg,True,/apartments/seattle-wa/ht-hawthorne-apartments/5XjW8Q/,FOR_RENT,Apartment for rent,"$2,250/mo",$2.3K,"1618 Bellevue Ave APT 712, Seattle, WA 98122",1.0,1.0,635.0,"{'latitude': 47.61578, 'longitude': -122.32645}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}","{'homeInfo': {'zpid': 2072005318, 'streetAddress': '1618 Bellevue Ave APT 712', 'zipcode': '98122', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.61578, 'longitude': -122.32645, 'price': 2250.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 635.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1945, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2250.0, 'timeOnZillow': 3862359000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 712', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,2025-01-10 00:00:00,False,3862359000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,
,,,https://photos.zillowstatic.com/fp/64c54a5826a34c7ee237e9f599950483-p_e.jpg,True,/apartments/seattle-wa/museum-house/BKB5VH/,FOR_RENT,Museum House,"$2,250+/mo",,"707 Terry Ave, Seattle, WA",,,,"{'latitude': 47.606895, 'longitude': -122.32487}",{'type': 'TIME_ON_INFO'},,,,,,,False,,False,False,True,False,,False,,,2162117000,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",4ca4u8ur9vma9,1.0,1.0,590.0,2347223591.0,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Museum House,47.606895--122.32487,True,True,2.0,,,
,,,https://photos.zillowstatic.com/fp/104dfc85eda8f56e48d749f732b3283e-p_e.jpg,True,/apartments/seattle-wa/1711-12th-apartments/5ZXMs4/,FOR_RENT,1711 12th Apartments,"$1,749+/mo",,"1711 12th Ave, Seattle, WA",,,,"{'latitude': 47.617046, 'longitude': -122.31728}","{'type': '3D_HOME', 'text': '3D Tour'}",,,,,,,True,,False,False,True,False,,False,,,2708510000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPinnaclePackage']",8bywxf039squ,1.0,1.0,440.0,1011941926.0,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",1711 12th Apartments,47.617046--122.31728,True,True,3.0,,,
,,,https://photos.zillowstatic.com/fp/f0e6b47cdcd862dc404b21bc13c1aaf2-p_e.jpg,True,/apartments/seattle-wa/the-modern/C4jGzC/,FOR_RENT,The Modern,"$3,435+/mo",,"255 Lenora St, Seattle, WA",,,,"{'latitude': 47.612904, 'longitude': -122.342354}","{'type': '3D_HOME', 'text': '3D Tour'}",,,,,,,True,,False,False,True,False,,False,,,20391053000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremiumPlusPackage']",4cvrgnh735d71,1.0,1.0,712.0,2557955731.0,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",The Modern,47.612904--122.342354,True,True,15.0,,,
2062159738,ForRent,For Rent,https://photos.zillowstatic.com/fp/214e3ed0ef355d3cf97803820c87e16c-p_e.jpg,True,/apartments/seattle-wa/nine-and-pine/65TgxM/,FOR_RENT,Apartment for rent,"$2,185/mo",$2.2K,"1601 9th Ave #509, Seattle, WA 98101",1.0,1.0,623.0,"{'latitude': 47.61368, 'longitude': -122.33262}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}","{'homeInfo': {'zpid': 2062159738, 'streetAddress': '1601 9th Ave #509', 'zipcode': '98101', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.61368, 'longitude': -122.33262, 'price': 2185.0, 'datePriceChanged': 1737187200000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 623.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2221, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2185.0, 'priceChange': 30, 'timeOnZillow': 13231420000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 509', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,,False,13231420000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,
,,,https://photos.zillowstatic.com/fp/a984f62a3abd27a500f1d407f6df9672-p_e.jpg,True,/apartments/seattle-wa/3zero3-brand-new/9P5ydY/,FOR_RENT,3ZERO3 - Brand New,"$2,100+/mo",,"303 Battery St, Seattle, WA",,,,"{'latitude': 47.615543, 'longitude': -122.34569}",{'type': 'TIME_ON_INFO'},,,,,,,False,,False,False,True,False,,False,,,4004044000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPinnaclePackage']",4b416p5z38bmv,1.0,1.0,444.0,2087325302.0,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",3ZERO3 - Brand New,47.615543--122.34569,True,True,24.0,,,
,,,https://photos.zillowstatic.com/fp/19660d109dbf5c69cb23e052c6afba7d-p_e.jpg,True,/apartments/seattle-wa/yesler-towers/CdF6B8/,FOR_RENT,Yesler Towers,"$2,234+/mo",,"809 S Washington St, Seattle, WA",,,,"{'latitude': 47.60128, 'longitude': -122.32268}",{'type': 'TIME_ON_INFO'},,,,,,,False,,False,False,True,False,,False,,,1279390000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremiumPlusPackage']",18zvm636grbqh,1.0,1.0,468.0,2722290213.0,"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",Yesler Towers,47.60128--122.32268,True,True,65.0,,,
,,,https://photos.zillowstatic.com/fp/3b7e4a0bddefdf89a456ac7de0a8ce44-p_e.jpg,True,/apartments/seattle-wa/icon-apartments/9WJZmt/,FOR_RENT,Icon Apartments,"$1,599+/mo",,"400 S Jackson St, Seattle, WA",,,,"{'latitude': 47.59941, 'longitude': -122.32883}","{'type': '3D_HOME', 'text': '3D Tour'}",,,,,,,True,,False,False,True,False,,False,,,8847410000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",2958f6tn4wjks,1.0,1.0,515.0,2123162938.0,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Icon Apartments,47.59941--122.32883,True,True,17.0,,,
,,,https://photos.zillowstatic.com/fp/454ddb547374c15f458389e0fd20453a-p_e.jpg,True,/apartments/seattle-wa/summit-place/9P5zyz/,FOR_RENT,Summit Place,"$1,795+/mo",,"1629 Summit Ave, Seattle, WA",,,,"{'latitude': 47.616154, 'longitude': -122.32588}","{'type': '3D_HOME', 'text': '3D Tour'}",,,,,,,True,,False,False,True,False,,False,,,11739713000,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",2ng7s9g1614bb,1.0,1.0,600.0,2087328508.0,"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",Summit Place,47.616154--122.32588,True,True,4.0,,,
2080119603,ForRent,For Rent,https://photos.zillowstatic.com/fp/1f89edff2ba1015734da062cc0f50142-p_e.jpg,True,/apartments/seattle-wa/three20/5XrYBH/,FOR_RENT,Apartment for rent,"$2,078/mo",$2.1K,"320 E Pine St #1-325, Seattle, WA 98122",1.0,1.0,596.0,"{'latitude': 47.615524, 'longitude': -122.32715}","{'type': 'TIME_ON_INFO', 'text': '6 hours ago', 'data': {'isRead': None, 'isFresh': True}}","{'homeInfo': {'zpid': 2080119603, 'streetAddress': '320 E Pine St #1-325', 'zipcode': '98122', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.615524, 'longitude': -122.32715, 'price': 2078.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 596.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2059, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2078.0, 'timeOnZillow': 23051000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 1-325', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,2025-03-05 00:00:00,False,23051000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,
